source,alpha,target,status
Afghanistan,ALB,Albania,VR
Afghanistan,DZA,Algeria,VR
Afghanistan,AND,Andorra,VR
Afghanistan,AGO,Angola,VR
Afghanistan,ATG,Antigua and Barbuda,VR
Afghanistan,ARG,Argentina,VR
Afghanistan,ARM,Armenia,VR
Afghanistan,AUS,Australia,VR
Afghanistan,AUT,Austria,VR
Afghanistan,AZE,Azerbaijan,VR
Afghanistan,BHS,Bahamas,VR
Afghanistan,BHR,Bahrain,VR
Afghanistan,BGD,Bangladesh,ETA
Afghanistan,BRB,Barbados,VR
Afghanistan,BLR,Belarus,VR
Afghanistan,BEL,Belgium,VR
Afghanistan,BLZ,Belize,VR
Afghanistan,BEN,Benin,VR
Afghanistan,BTN,Bhutan,VR
Afghanistan,BOL,Bolivia,ETA
Afghanistan,BIH,Bosnia and Herzegovina,VR
Afghanistan,BWA,Botswana,VR
Afghanistan,BRA,Brazil,VR
Afghanistan,BRN,Brunei,VR
Afghanistan,BGR,Bulgaria,VR
Afghanistan,BFA,Burkina Faso,VR
Afghanistan,BDI,Burundi,VR
Afghanistan,KHM,Cambodia,ETA
Afghanistan,CMR,Cameroon,VR
Afghanistan,CAN,Canada,VR
Afghanistan,CPV,Cape Verde,ETA
Afghanistan,CAF,Central African Republic,VR
Afghanistan,TCD,Chad,VR
Afghanistan,CHL,Chile,VR
Afghanistan,CHN,China,VR
Afghanistan,COL,Colombia,VR
Afghanistan,COM,Comoros,ETA
Afghanistan,COG,Republic of Congo,VR
Afghanistan,CRI,Costa Rica,VR
Afghanistan,HRV,Croatia,VR
Afghanistan,CUB,Cuba,VR
Afghanistan,CYP,Cyprus,VR
Afghanistan,CZE,Czech Republic,VR
Afghanistan,COD,Democratic Republic of the Congo,VR
Afghanistan,DNK,Denmark,VR
Afghanistan,DJI,Djibouti,ETA
Afghanistan,DOM,Dominican Republic,VR
Afghanistan,ECU,Ecuador,VR
Afghanistan,EGY,Egypt,VR
Afghanistan,SLV,El Salvador,VR
Afghanistan,GNQ,Equatorial Guinea,VR
Afghanistan,ERI,Eritrea,VR
Afghanistan,EST,Estonia,VR
Afghanistan,ETH,Ethiopia,ETA
Afghanistan,FJI,Fiji,VR
Afghanistan,FIN,Finland,VR
Afghanistan,FRA,France,VR
Afghanistan,GAB,Gabon,ETA
Afghanistan,GMB,Gambia,VR
Afghanistan,GEO,Georgia,VR
Afghanistan,DEU,Germany,VR
Afghanistan,GHA,Ghana,VR
Afghanistan,GRC,Greece,VR
Afghanistan,GRD,Grenada,VR
Afghanistan,GTM,Guatemala,VR
Afghanistan,GIN,Guinea,ETA
Afghanistan,GUY,Guyana,VR
Afghanistan,HTI,Haiti,90
Afghanistan,HND,Honduras,VR
Afghanistan,HKG,China:Hong Kong,VR
Afghanistan,HUN,Hungary,VR
Afghanistan,ISL,Iceland,VR
Afghanistan,IND,India,VR
Afghanistan,IDN,Indonesia,VR
Afghanistan,IRN,Iran,VR
Afghanistan,IRQ,Iraq,VR
Afghanistan,IRL,Ireland,VR
Afghanistan,ISR,Israel,VR
Afghanistan,ITA,Italy,VR
Afghanistan,CIV,Ivory Coast,VOA
Afghanistan,JAM,Jamaica,VR
Afghanistan,JPN,Japan,VR
Afghanistan,JOR,Jordan,VR
Afghanistan,KAZ,Kazakhstan,VR
Afghanistan,KEN,Kenya,VR
Afghanistan,KIR,Kiribati,VR
Afghanistan,KWT,Kuwait,VR
Afghanistan,KGZ,Kyrgyzstan,VR
Afghanistan,LAO,Laos,VR
Afghanistan,LVA,Latvia,VR
Afghanistan,LBN,Lebanon,VR
Afghanistan,LSO,Lesotho,ETA
Afghanistan,LBR,Liberia,VR
Afghanistan,LBY,Libya,VR
Afghanistan,LIE,Liechtenstein,VR
Afghanistan,LTU,Lithuania,VR
Afghanistan,LUX,Luxembourg,VR
Afghanistan,MAC,China:Macao,ETA
Afghanistan,MDG,Madagascar,ETA
Afghanistan,MWI,Malawi,ETA
Afghanistan,MYS,Malaysia,VR
Afghanistan,MDV,Maldives,ETA
Afghanistan,MLI,Mali,VR
Afghanistan,MLT,Malta,VR
Afghanistan,MHL,Marshall Islands,VR
Afghanistan,MRT,Mauritania,ETA
Afghanistan,MUS,Mauritius,VR
Afghanistan,MEX,Mexico,VR
Afghanistan,FSM,Micronesia,30
Afghanistan,MDA,Moldova,VR
Afghanistan,MCO,Monaco,VR
Afghanistan,MNG,Mongolia,VR
Afghanistan,MNE,Montenegro,VR
Afghanistan,MAR,Morocco,VR
Afghanistan,MOZ,Mozambique,ETA
Afghanistan,MMR,Myanmar,VR
Afghanistan,NAM,Namibia,VR
Afghanistan,NRU,Nauru,VR
Afghanistan,NPL,Nepal,VR
Afghanistan,NLD,Netherlands,VR
Afghanistan,NZL,New Zealand,VR
Afghanistan,NIC,Nicaragua,VR
Afghanistan,NGA,Nigeria,ETA
Afghanistan,PRK,North Korea,VR
Afghanistan,MKD,Macedonia,VR
Afghanistan,NOR,Norway,VR
Afghanistan,OMN,Oman,VR
Afghanistan,PAK,Pakistan,VR
Afghanistan,PLW,Palau,ETA
Afghanistan,PAN,Panama,VR
Afghanistan,PNG,Papua New Guinea,VR
Afghanistan,PRY,Paraguay,VR
Afghanistan,PER,Peru,VR
Afghanistan,PHL,Philippines,VR
Afghanistan,POL,Poland,VR
Afghanistan,PRT,Portugal,VR
Afghanistan,QAT,Qatar,ETA
Afghanistan,ROU,Romania,VR
Afghanistan,RUS,Russia,VR
Afghanistan,RWA,Rwanda,ETA
Afghanistan,KNA,Saint Kitts and Nevis,VR
Afghanistan,LCA,Saint Lucia,VR
Afghanistan,VCT,Saint Vincent and the Grenadines,30
Afghanistan,WSM,Samoa,ETA
Afghanistan,SMR,San Marino,VR
Afghanistan,STP,Sao Tome and Principe,VR
Afghanistan,SAU,Saudi Arabia,VR
Afghanistan,SEN,Senegal,ETA
Afghanistan,SRB,Serbia,VR
Afghanistan,SYC,Seychelles,ETA
Afghanistan,SLE,Sierra Leone,VR
Afghanistan,SGP,Singapore,VR
Afghanistan,SVK,Slovakia,VR
Afghanistan,SVN,Slovenia,VR
Afghanistan,SLB,Solomon Islands,VR
Afghanistan,SOM,Somalia,ETA
Afghanistan,ZAF,South Africa,VR
Afghanistan,KOR,South Korea,VR
Afghanistan,ESP,Spain,VR
Afghanistan,LKA,Sri Lanka,VR
Afghanistan,SDN,Sudan,VR
Afghanistan,SUR,Suriname,ETA
Afghanistan,SWZ,Swaziland,VR
Afghanistan,SWE,Sweden,VR
Afghanistan,CHE,Switzerland,VR
Afghanistan,SYR,Syria,VR
Afghanistan,TWN,Taiwan,VR
Afghanistan,TJK,Tajikistan,VR
Afghanistan,TZA,Tanzania,VR
Afghanistan,THA,Thailand,VR
Afghanistan,TLS,Timor-Leste,ETA
Afghanistan,TGO,Togo,ETA
Afghanistan,TON,Tonga,VR
Afghanistan,TTO,Trinidad and Tobago,VR
Afghanistan,TUN,Tunisia,VR
Afghanistan,TUR,Turkey,VR
Afghanistan,TKM,Turkmenistan,VR
Afghanistan,TUV,Tuvalu,ETA
Afghanistan,UGA,Uganda,ETA
Afghanistan,UKR,Ukraine,VR
Afghanistan,ARE,United Arab Emirates,VR
Afghanistan,GBR,UK,VR
Afghanistan,USA,USA,VR
Afghanistan,URY,Uruguay,VR
Afghanistan,UZB,Uzbekistan,VR
Afghanistan,VUT,Vanuatu,VR
Afghanistan,VAT,Vatican,VR
Afghanistan,VEN,Venezuela,VR
Afghanistan,VNM,Vietnam,VR
Afghanistan,YEM,Yemen,VR
Afghanistan,ZMB,Zambia,VR
Afghanistan,ZWE,Zimbabwe,VR
Albania,AFG,Afghanistan,VR
Albania,DZA,Algeria,VR
Albania,AND,Andorra,90
Albania,AGO,Angola,VR
Albania,ATG,Antigua and Barbuda,180
Albania,ARG,Argentina,VR
Albania,ARM,Armenia,180
Albania,AUS,Australia,VR
Albania,AUT,Austria,90
Albania,AZE,Azerbaijan,ETA
Albania,BHS,Bahamas,VR
Albania,BHR,Bahrain,VR
Albania,BGD,Bangladesh,ETA
Albania,BRB,Barbados,28
Albania,BLR,Belarus,30
Albania,BEL,Belgium,90
Albania,BLZ,Belize,VR
Albania,BEN,Benin,VR
Albania,BTN,Bhutan,VR
Albania,BOL,Bolivia,ETA
Albania,BIH,Bosnia and Herzegovina,90
Albania,BWA,Botswana,VR
Albania,BRA,Brazil,90
Albania,BRN,Brunei,VR
Albania,BGR,Bulgaria,90
Albania,BFA,Burkina Faso,VR
Albania,BDI,Burundi,VR
Albania,KHM,Cambodia,ETA
Albania,CMR,Cameroon,VR
Albania,CAN,Canada,VR
Albania,CPV,Cape Verde,ETA
Albania,CAF,Central African Republic,VR
Albania,TCD,Chad,VR
Albania,CHL,Chile,90
Albania,CHN,China,VR
Albania,COL,Colombia,90
Albania,COM,Comoros,ETA
Albania,COG,Republic of Congo,VR
Albania,CRI,Costa Rica,VR
Albania,HRV,Croatia,90
Albania,CUB,Cuba,ETA
Albania,CYP,Cyprus,90
Albania,CZE,Czech Republic,90
Albania,COD,Democratic Republic of the Congo,VR
Albania,DNK,Denmark,90
Albania,DJI,Djibouti,ETA
Albania,DOM,Dominican Republic,VF
Albania,ECU,Ecuador,90
Albania,EGY,Egypt,ETA
Albania,SLV,El Salvador,90
Albania,GNQ,Equatorial Guinea,VR
Albania,ERI,Eritrea,VR
Albania,EST,Estonia,90
Albania,ETH,Ethiopia,ETA
Albania,FJI,Fiji,VR
Albania,FIN,Finland,90
Albania,FRA,France,90
Albania,GAB,Gabon,ETA
Albania,GMB,Gambia,90
Albania,GEO,Georgia,360
Albania,DEU,Germany,90
Albania,GHA,Ghana,VR
Albania,GRC,Greece,90
Albania,GRD,Grenada,VR
Albania,GTM,Guatemala,VR
Albania,GIN,Guinea,ETA
Albania,GUY,Guyana,VR
Albania,HTI,Haiti,90
Albania,HND,Honduras,VR
Albania,HKG,China:Hong Kong,14
Albania,HUN,Hungary,90
Albania,ISL,Iceland,90
Albania,IND,India,VOA
Albania,IDN,Indonesia,30
Albania,IRN,Iran,ETA
Albania,IRQ,Iraq,VR
Albania,IRL,Ireland,VR
Albania,ISR,Israel,90
Albania,ITA,Italy,90
Albania,CIV,Ivory Coast,VOA
Albania,JAM,Jamaica,ETA
Albania,JPN,Japan,VR
Albania,JOR,Jordan,VR
Albania,KAZ,Kazakhstan,VR
Albania,KEN,Kenya,ETA
Albania,KIR,Kiribati,VR
Albania,KWT,Kuwait,VR
Albania,KGZ,Kyrgyzstan,ETA
Albania,LAO,Laos,ETA
Albania,LVA,Latvia,90
Albania,LBN,Lebanon,VR
Albania,LSO,Lesotho,ETA
Albania,LBR,Liberia,VR
Albania,LBY,Libya,VR
Albania,LIE,Liechtenstein,90
Albania,LTU,Lithuania,90
Albania,LUX,Luxembourg,90
Albania,MAC,China:Macao,90
Albania,MDG,Madagascar,ETA
Albania,MWI,Malawi,ETA
Albania,MYS,Malaysia,90
Albania,MDV,Maldives,ETA
Albania,MLI,Mali,VR
Albania,MLT,Malta,90
Albania,MHL,Marshall Islands,VR
Albania,MRT,Mauritania,ETA
Albania,MUS,Mauritius,ETA
Albania,MEX,Mexico,VR
Albania,FSM,Micronesia,30
Albania,MDA,Moldova,90
Albania,MCO,Monaco,90
Albania,MNG,Mongolia,VR
Albania,MNE,Montenegro,90
Albania,MAR,Morocco,VR
Albania,MOZ,Mozambique,ETA
Albania,MMR,Myanmar,ETA
Albania,NAM,Namibia,VR
Albania,NRU,Nauru,VR
Albania,NPL,Nepal,ETA
Albania,NLD,Netherlands,90
Albania,NZL,New Zealand,VR
Albania,NIC,Nicaragua,VR
Albania,NGA,Nigeria,ETA
Albania,PRK,North Korea,VR
Albania,MKD,Macedonia,90
Albania,NOR,Norway,90
Albania,OMN,Oman,ETA
Albania,PAK,Pakistan,VR
Albania,PLW,Palau,ETA
Albania,PAN,Panama,VR
Albania,PNG,Papua New Guinea,VR
Albania,PRY,Paraguay,VR
Albania,PER,Peru,VR
Albania,PHL,Philippines,VR
Albania,POL,Poland,90
Albania,PRT,Portugal,90
Albania,QAT,Qatar,ETA
Albania,ROU,Romania,90
Albania,RUS,Russia,VR
Albania,RWA,Rwanda,ETA
Albania,KNA,Saint Kitts and Nevis,VR
Albania,LCA,Saint Lucia,VR
Albania,VCT,Saint Vincent and the Grenadines,30
Albania,WSM,Samoa,ETA
Albania,SMR,San Marino,90
Albania,STP,Sao Tome and Principe,VR
Albania,SAU,Saudi Arabia,VR
Albania,SEN,Senegal,ETA
Albania,SRB,Serbia,90
Albania,SYC,Seychelles,ETA
Albania,SLE,Sierra Leone,VR
Albania,SGP,Singapore,30
Albania,SVK,Slovakia,90
Albania,SVN,Slovenia,90
Albania,SLB,Solomon Islands,VR
Albania,SOM,Somalia,ETA
Albania,ZAF,South Africa,VR
Albania,KOR,South Korea,30
Albania,ESP,Spain,90
Albania,LKA,Sri Lanka,VOA
Albania,SDN,Sudan,VR
Albania,SUR,Suriname,ETA
Albania,SWZ,Swaziland,VR
Albania,SWE,Sweden,90
Albania,CHE,Switzerland,90
Albania,SYR,Syria,VR
Albania,TWN,Taiwan,VR
Albania,TJK,Tajikistan,VR
Albania,TZA,Tanzania,ETA
Albania,THA,Thailand,VR
Albania,TLS,Timor-Leste,ETA
Albania,TGO,Togo,ETA
Albania,TON,Tonga,VR
Albania,TTO,Trinidad and Tobago,30
Albania,TUN,Tunisia,VR
Albania,TUR,Turkey,90
Albania,TKM,Turkmenistan,VR
Albania,TUV,Tuvalu,ETA
Albania,UGA,Uganda,ETA
Albania,UKR,Ukraine,90
Albania,ARE,United Arab Emirates,VR
Albania,GBR,UK,VR
Albania,USA,USA,VR
Albania,URY,Uruguay,VR
Albania,UZB,Uzbekistan,ETA
Albania,VUT,Vanuatu,VR
Albania,VAT,Vatican,90
Albania,VEN,Venezuela,VR
Albania,VNM,Vietnam,VR
Albania,YEM,Yemen,VR
Albania,ZMB,Zambia,ETA
Albania,ZWE,Zimbabwe,ETA
Algeria,AFG,Afghanistan,VR
Algeria,ALB,Albania,VR
Algeria,AND,Andorra,VR
Algeria,AGO,Angola,ETA
Algeria,ATG,Antigua and Barbuda,VR
Algeria,ARG,Argentina,VR
Algeria,ARM,Armenia,VR
Algeria,AUS,Australia,VR
Algeria,AUT,Austria,VR
Algeria,AZE,Azerbaijan,ETA
Algeria,BHS,Bahamas,VR
Algeria,BHR,Bahrain,VR
Algeria,BGD,Bangladesh,VR
Algeria,BRB,Barbados,VR
Algeria,BLR,Belarus,VR
Algeria,BEL,Belgium,VR
Algeria,BLZ,Belize,VR
Algeria,BEN,Benin,90
Algeria,BTN,Bhutan,VR
Algeria,BOL,Bolivia,ETA
Algeria,BIH,Bosnia and Herzegovina,VR
Algeria,BWA,Botswana,VR
Algeria,BRA,Brazil,VR
Algeria,BRN,Brunei,VR
Algeria,BGR,Bulgaria,VR
